Probability of Winning
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
initial   ,   42.8300,    0.0000,    9.3300,    0.9300,   44.2900,    0.9800,    0.0000,    0.0000,    0.0000,    0.0000,    2.6200,
Round 4 Game 1: Oklahoma defeats Oregon,   43.8400,    0.0000,    8.8600,    0.0000,   44.4400,    1.4100,    0.0000,    0.0000,    0.0000,    0.0000,    2.8600,
Round 4 Game 2: Villanova defeats Kansas,   16.5400,    0.0000,    5.1700,    0.0000,   77.5600,    0.7300,    0.0000,    0.0000,    0.0000,    0.0000,    0.7300,
Round 4 Game 3: Syracuse defeats Virginia,    0.0000,    0.0000,   32.8500,    0.0000,   62.2200,    4.9300,    0.0000,    0.0000,    0.0000,    0.0000,    4.9300,
Round 4 Game 4: North Carolina defeats Notre Dame,    0.0000,    0.0000,   39.1500,    0.0000,   55.3200,    5.5300,    0.0000,    0.0000,    0.0000,    0.0000,    5.5300,

Probability of Losing
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
initial   ,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   68.5600,   31.4400,    0.0000,    0.0000,
Round 4 Game 1: Oklahoma defeats Oregon,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   69.1900,   30.8100,    0.0000,    0.0000,
Round 4 Game 2: Villanova defeats Kansas,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   16.2400,   83.7600,    0.0000,    0.0000,
Round 4 Game 3: Syracuse defeats Virginia,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  100.0000,    0.0000,    0.0000,    0.0000,
Round 4 Game 4: North Carolina defeats Notre Dame,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  100.0000,    0.0000,    0.0000,    0.0000,

Best Finish
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
initial   ,     1,     7,     1,     1,     1,     1,     4,    10,     9,     5,     1,
Round 4 Game 1: Oklahoma defeats Oregon,     1,     7,     1,     6,     1,     1,     4,    10,    10,     5,     1,
Round 4 Game 2: Villanova defeats Kansas,     1,     8,     1,     7,     1,     1,     6,    10,    10,     9,     1,
Round 4 Game 3: Syracuse defeats Virginia,     2,     8,     1,     7,     1,     1,     6,    11,    10,     9,     1,
Round 4 Game 4: North Carolina defeats Notre Dame,     2,     8,     1,     7,     1,     1,     6,    11,    10,     9,     1,

Worst Finish
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
initial   ,     6,     9,     6,     8,    10,     7,     7,    11,    11,     9,     6,
Round 4 Game 1: Oklahoma defeats Oregon,     5,     9,     5,     8,     9,     6,     6,    11,    11,     9,     5,
Round 4 Game 2: Villanova defeats Kansas,     5,     8,     5,     7,     5,     5,     6,    11,    11,     9,     5,
Round 4 Game 3: Syracuse defeats Virginia,     5,     8,     4,     7,     5,     5,     6,    11,    10,     9,     5,
Round 4 Game 4: North Carolina defeats Notre Dame,     5,     8,     4,     7,     5,     5,     6,    11,    10,     9,     5,

Min Score
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
initial   ,    60,    55,    63,    63,    64,    66,    58,    43,    47,    53,    66,
Round 4 Game 1: Oklahoma defeats Oregon,    68,    55,    71,    63,    72,    74,    66,    43,    47,    53,    74,
Round 4 Game 2: Villanova defeats Kansas,    68,    55,    71,    63,    80,    74,    66,    43,    47,    53,    74,
Round 4 Game 3: Syracuse defeats Virginia,    68,    55,    71,    63,    80,    74,    66,    43,    47,    53,    74,
Round 4 Game 4: North Carolina defeats Notre Dame,    76,    63,    79,    71,    80,    82,    74,    43,    47,    61,    82,

Max Score
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
initial   ,   156,    87,   151,   103,   152,   106,   130,    51,    71,   117,   138,
Round 4 Game 1: Oklahoma defeats Oregon,   156,    87,   151,    95,   152,   106,   130,    51,    71,   117,   138,
Round 4 Game 2: Villanova defeats Kansas,   100,    63,    95,    71,   152,    82,    74,    51,    47,    61,    82,
Round 4 Game 3: Syracuse defeats Virginia,    92,    63,    95,    71,    96,    82,    74,    43,    47,    61,    82,
Round 4 Game 4: North Carolina defeats Notre Dame,    92,    63,    95,    71,    96,    82,    74,    43,    47,    61,    82,
