Probability of Winning
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
Round 2 Game 4: Iowa State defeats Arkansas-Little Rock,     1,     1,     1,     1,     1,     1,     1,     2,     1,     1,     1,
Round 2 Game 5: Virginia defeats Butler,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
Round 2 Game 6: Kansas defeats Connecticut,     1,     1,     1,     1,     1,     1,     1,     2,     1,     1,     1,
Round 2 Game 7: Gonzaga defeats Utah,     1,     1,     1,     1,     1,     1,     1,     2,     1,     1,     1,
Round 2 Game 8: North Carolina defeats Providence,     1,     1,     1,     1,     1,     1,     1,     2,     1,     1,     1,
Round 2 Game 9: Villanova defeats Iowa,     1,     1,     1,     1,     1,     1,     1,     2,     1,     1,     1,
Round 2 Game 10: Notre Dame defeats Stephen F. Austin,     1,     1,     1,     1,     1,     1,     1,     2,     1,     1,     1,
Round 2 Game 11: Oklahoma defeats Virginia Commonwealth,     1,     1,     1,     1,     1,     1,     1,     2,     1,     1,     1,
Round 2 Game 12: Syracuse defeats Middle Tennessee,     1,     1,     1,     1,     1,     1,     1,     2,     1,     1,     1,
Round 2 Game 13: Maryland defeats Hawaii,     1,     1,     1,     1,     1,     1,     1,     2,     1,     1,     1,
Round 2 Game 14: Texas A&M defeats Northern Iowa,     1,     1,     1,     1,     1,     1,     2,     2,     1,     1,     1,
Round 2 Game 15: Wisconsin defeats Xavier,     1,     1,     1,     1,     1,     1,     3,     2,     1,     1,     1,
Round 2 Game 16: Oregon defeats Saint Joseph's,     1,     1,     1,     1,     1,     1,     3,     2,     1,     1,     1,

Worst Finish
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
initial   ,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,
Round 1 Game 1: Duke defeats North Carolina-Wilmington,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,
